window,r2,mse,step
W2018,0.5196888413636147,0.04018263685611911,S3: +spherical R
W2019,0.5160046016804601,0.04187791497993377,S3: +spherical R
W2020,0.5635212013731968,0.038942706526131146,S3: +spherical R
W2021,0.29421481842211006,0.06162488773388005,S3: +spherical R
W2022,0.464451824691985,0.047320348613784875,S3: +spherical R
W2023,0.39679230133715915,0.052699518503252454,S3: +spherical R
W2024,0.5441096353957164,0.039969998261849674,S3: +spherical R
W2015,0.4862291519272147,0.04480630128588241,S4: +DMD
W2016,0.21661096004423397,0.06802663308701673,S4: +DMD
W2017,0.38862132752408196,0.05209573376055346,S4: +DMD
W2018,0.6007327597688337,0.03340253549033092,S4: +DMD
W2019,0.5182130365804802,0.04168682917766608,S4: +DMD
W2020,0.6225929110993427,0.03367231936620635,S4: +DMD
W2021,0.38061911641066104,0.05408058770853084,S4: +DMD
W2022,0.4981749866505756,0.044340613355940264,S4: +DMD
W2023,0.44910050748372166,0.048129587973845346,S4: +DMD
W2024,0.5598614401476207,0.03858896532622027,S4: +DMD
W2015,0.5413215153509104,0.04000165920980312,"S5: +online Q,K=8"
W2016,0.41223161234740535,0.051039652596171325,"S5: +online Q,K=8"
W2017,0.44269021600178005,0.047488509881682926,"S5: +online Q,K=8"
W2018,0.6360076008730775,0.03045145658083136,"S5: +online Q,K=8"
W2019,0.5500879041866049,0.03892884222109454,"S5: +online Q,K=8"
W2020,0.6498839457801258,0.03123740899321271,"S5: +online Q,K=8"
W2021,0.416300539534013,0.05096510193246829,"S5: +online Q,K=8"
W2022,0.5861362968356496,0.03656846501449735,"S5: +online Q,K=8"
W2023,0.48406989963838853,0.04507447091717062,"S5: +online Q,K=8"
W2024,0.5839058688397587,0.0364808800328052,"S5: +online Q,K=8"
W2015,0.5611894202811274,0.03826896585524274,"S6: +F=0.99I,Q0=0.5I"
W2016,0.4324295684786513,0.04928573611180805,"S6: +F=0.99I,Q0=0.5I"
W2017,0.4783409996179042,0.0444506974501512,"S6: +F=0.99I,Q0=0.5I"
W2018,0.6519201629803761,0.029120218084471378,"S6: +F=0.99I,Q0=0.5I"
W2019,0.558463570171982,0.038204134033260964,"S6: +F=0.99I,Q0=0.5I"
W2020,0.6590063196313591,0.030423509374656484,"S6: +F=0.99I,Q0=0.5I"
W2021,0.4394229998381821,0.048946188731159794,"S6: +F=0.99I,Q0=0.5I"
W2022,0.6010106494756244,0.03525418632813424,"S6: +F=0.99I,Q0=0.5I"
W2023,0.493301049532024,0.04426798725374202,"S6: +F=0.99I,Q0=0.5I"
W2024,0.6109152750592507,0.03411284156683815,"S6: +F=0.99I,Q0=0.5I"
W2015,0.667224713244255,0.029021556623550347,S7: +rolling basis
W2016,0.6106448387499933,0.03381017520539475,S7: +rolling basis
W2017,0.6636484352645778,0.02866060324845944,S7: +rolling basis
W2018,0.688546493577605,0.026056074111762265,S7: +rolling basis
W2019,0.6822814549002786,0.02749073703062358,S7: +rolling basis
W2020,0.7639607221069933,0.02105946120761435,S7: +rolling basis
W2021,0.6446811466094398,0.03102429042356959,S7: +rolling basis
W2022,0.7524281080005502,0.021875134257810507,S7: +rolling basis
W2023,0.6878494909498816,0.02727117303700249,S7: +rolling basis
W2024,0.7497297324502256,0.021942341702352233,S7: +rolling basis
